cycle,pm_arena_on,pm_arena_off
193,482.80078125,485.1484375
194,483.6328125,485.71875
195,483.40234375,484.6015625
196,483.90234375,484.84375
197,484.24609375,485.15234375
198,484.23828125,485.171875
199,484.40625,485.18359375
200,484.9296875,485.74609375
201,483.921875,485.75390625
202,482.44140625,486.30078125
203,482.671875,486.296875
204,434.83203125,485.71875
205,428.3515625,485.71875
206,482.34375,484.609375
207,482.92578125,484.59765625
208,481.515625,485.73046875
209,482.9140625,485.74609375
210,483.49609375,485.75390625
211,483.4921875,485.73828125
212,482.7421875,485.7421875
213,483.59375,485.1640625
214,483.27734375,485.16796875
215,483.203125,485.16796875
216,483.77734375,484.59765625
217,484.53125,485.16015625
218,483.96484375,484.59765625
219,484.921875,484.59765625
220,485.48828125,485.16796875
221,484.87109375,433.6953125
222,484.25,484.9765625
223,484.78125,485.9296875
224,484.21484375,486.59765625
225,485.99609375,486.59765625
226,485.44140625,486.61328125
227,484.55859375,485.15234375
228,485.06640625,485.15625
229,485.08984375,485.15234375
230,484.5078125,485.16015625
231,484.15625,485.734375
232,483.828125,486.3046875
233,483.26953125,486.3046875
234,481.67578125,486.3046875
235,483.70703125,485.734375
236,483.0625,485.7421875
237,484.140625,485.7421875
238,484.65625,485.76953125
239,483.6328125,485.73828125
240,484.26953125,486.3046875
241,484.796875,485.7421875
242,485.9453125,485.171875
243,484.6171875,486.05859375
244,485.5,486.05859375
245,484.6171875,485.171875
246,430.78515625,485.73828125
247,484.27734375,485.171875
248,484.83984375,485.171875
249,483.71875,485.4921875
250,484.625,485.171875
251,484.078125,485.4921875
252,484.0546875,485.80859375
253,485.51171875,485.7421875
254,484.94140625,485.171875
255,484.90625,485.6171875
256,484.0703125,485.171875
257,485.52734375,485.171875
258,484.91796875,484.61328125
259,485.8984375,428.41796875
260,484.7109375,484.14453125
261,485.19921875,484.734375
262,485.2109375,485.34765625
263,485.1953125,486.53125
264,485.1796875,486.5390625
265,485.18359375,485.42578125
266,485.1796875,484.82421875
267,485.18359375,484.54296875
268,485.1875,485.43359375
269,484.6171875,485.1328125
270,484.6171875,485.70703125
271,484.6171875,486.58203125
272,485.125,486.015625
273,485.640625,485.99609375
274,486.20703125,486.0078125
275,486.2109375,485.42578125
276,486.328125,485.48046875
277,486.3359375,485.18359375
278,486.91015625,484.61328125
279,486.33984375,485.49609375
280,485.1953125,485.5078125
281,484.6171875,485.75
282,486.07421875,485.76171875
283,485.375,485.7578125
284,485.38671875,485.76171875
285,486.08203125,486.328125
286,487.0078125,486.328125
287,432.71484375,485.75390625
288,484.9375,485.19140625
289,484.640625,485.19140625
290,484.328125,484.61328125
291,483.78125,484.61328125
292,484.34375,485.17578125
293,484.6875,484.61328125
294,484.359375,485.625
295,485.20703125,485.18359375
296,485.9453125,434.703125
297,485.875,484.21484375
298,485.171875,485.375
299,485.171875,485.96484375
300,485.17578125,485.35546875
301,485.73828125,484.58203125
302,485.7578125,484.58203125
303,485.17578125,485.14453125
304,485.1796875,484.58203125
305,485.75,485.74609375
306,484.6328125,484.61328125
307,485.4453125,485.1875
308,485.4609375,484.61328125
309,486.01171875,486.06640625
310,485.19140625,485.8671875
311,485.17578125,485.7734375
312,486.00390625,486.234375
313,485.95703125,485.6484375
314,485.88671875,485.6484375
315,485.75,486.18359375
316,485.44140625,485.1953125
317,484.625,485.51953125
318,485.74609375,486.328125
319,485.74609375,485.1953125
320,485.75390625,485.17578125
321,486.26171875,485.18359375
322,486.2109375,485.75
323,486.21875,485.7578125
324,486.78515625,485.7578125
325,486.78125,485.75
326,486.78125,485.17578125
327,487.28125,486.06640625
328,487.23828125,486.02734375
329,432.07421875,485.18359375
330,485.34375,485.18359375
331,485.41015625,485.18359375
332,485.4140625,486.06640625
333,485.41796875,485.1875
334,485.42578125,430.3671875
335,485.4296875,484.44921875
336,484.8828125,484.265625
337,485.14453125,485.19140625
338,484.578125,485.1953125
339,484.8828125,484.59765625
340,484.328125,484.859375
341,484.89453125,484.84765625
342,484.90625,484.28515625
343,485.80078125,485.16796875
344,486.1015625,484.98828125
345,485.5390625,484.984375
346,485.5390625,484.98046875
347,485.5390625,485.8125
348,486.1015625,485.765625
349,485.8125,485.45703125
350,486.3828125,486.65625
351,486.37890625,485.5078125
352,485.8125,485.4609375
353,486.69921875,486.03125
354,486.1484375,486.59765625
355,485.20703125,486.59765625
356,484.62109375,486.60546875
357,484.62109375,486.0390625
358,484.62109375,486.6015625
359,485.12890625,486.61328125
360,485.7578125,487.1796875
361,484.62109375,487.1796875
362,485.8203125,487.1796875
363,485.2578125,487.75
364,485.91796875,488.31640625
365,485.36328125,487.75
366,485.9296875,487.1796875
367,485.9296875,487.1796875
368,485.9296875,487.1796875
369,485.9296875,486.859375
370,487.00390625,486.86328125
371,433.8203125,434.13671875
372,485.97265625,486.73828125
373,486.61328125,485.609375
374,487.1875,484.4765625
375,485.56640625,486.2109375
376,485.74609375,485.64453125
377,485.734375,484.50390625
378,485.7421875,484.50390625
379,486.3125,485.06640625
380,485.7421875,485.06640625
381,484.6015625,485.07421875
382,485.671875,485.66015625
383,485.1015625,484.6484375
384,485.7109375,484.6484375
385,484.671875,485.546875
386,486.3984375,486.109375
387,486.45703125,486.10546875
388,487.0234375,486.10546875
389,487.58984375,485.9765625
390,487.58984375,485.984375
391,486.45703125,485.9140625
392,486.95703125,485.34375
393,487.50390625,485.34375
394,487.50390625,485.9140625
395,486.34765625,486.3671875
396,485.82421875,484.96484375
397,485.80078125,484.55859375
398,486.37109375,484.55859375
399,486.30859375,484.55859375
400,485.7421875,485.12890625
401,486.30078125,485.69921875
402,486.8671875,484.5625
403,486.29296875,485.19140625
404,486.203125,485.765625
405,485.8828125,485.77734375
406,484.7421875,486.34375
407,485.70703125,485.765625
408,485.734375,485.19921875
409,486.87109375,432.0
410,486.87109375,485.57421875
411,428.10546875,485.609375
412,431.48828125,484.27734375
413,485.73828125,485.1015625
414,486.30859375,485.01171875
415,486.31640625,484.99609375
416,486.31640625,484.4453125
417,486.31640625,485.015625
418,486.31640625,485.01953125
419,487.390625,485.17578125
420,486.734375,485.19140625
421,486.734375,485.76171875
422,486.82421875,485.76171875
423,486.2734375,484.61328125
424,486.82421875,485.74609375
425,486.83203125,485.19140625
426,486.828125,485.75
427,487.08984375,485.70703125
428,486.52734375,485.64453125
429,487.1015625,485.05859375
430,485.89453125,486.19140625
431,485.74609375,485.05859375
432,485.1875,487.08203125
433,485.19140625,486.51953125
434,485.7578125,486.19921875
435,485.203125,486.203125
436,486.32421875,486.203125
437,486.34765625,486.203125
438,486.9140625,485.7578125
439,486.34375,485.76171875
440,486.34765625,486.33203125
441,486.34375,486.33984375
442,485.78515625,486.33984375
443,485.77734375,486.33984375
444,485.1953125,486.33984375
445,484.62890625,486.33984375
446,485.98828125,433.66796875
447,485.22265625,485.55859375
448,486.9140625,485.6484375
449,486.34375,484.5078125
450,485.765625,485.5
451,485.19140625,486.06640625
452,484.62890625,486.0703125
453,484.62890625,484.61328125
454,428.86328125,484.61328125
455,483.578125,485.18359375
456,484.19140625,485.19921875
457,484.19921875,485.75
458,484.5625,486.640625
459,483.98828125,486.0546875
460,484.55859375,486.0625
461,484.07421875,486.07421875
462,485.1953125,485.19921875
463,484.94921875,485.20703125
464,484.6328125,485.76171875
465,485.1953125,485.75
466,484.5703125,485.74609375
467,485.19921875,485.19140625
468,485.21484375,485.75
469,484.62890625,485.19140625
470,484.6328125,485.75
471,485.19921875,485.7578125
472,484.64453125,485.7578125
473,484.62890625,485.75
474,484.6328125,485.7578125
475,485.20703125,486.328125
476,485.77734375,486.328125
477,484.62890625,486.3359375
478,484.0625,486.90234375
479,484.0625,486.90234375
480,484.94921875,486.90234375
481,484.8359375,486.34375
482,484.8359375,486.34375
483,485.45703125,486.33984375
484,486.10546875,431.4375
485,484.96875,484.5859375
486,484.8984375,485.125
487,485.73046875,485.12890625
488,486.03125,485.125
489,486.6015625,485.12890625
490,485.19921875,484.56640625
491,485.18359375,484.56640625
492,484.6171875,485.44921875
493,484.6171875,485.44140625
494,485.50390625,485.44140625
495,485.50390625,485.35546875
496,429.87890625,485.16796875
497,484.0390625,485.73046875
498,484.171875,485.73828125
499,485.51953125,486.3125
500,485.23046875,485.1796875
